仕事,会社名,url,場所,給料形態,金額,契約形態,掲載元,掲載日,結果通知期限,電話番号
【急募】警備業／東京都江東区東陽,シモヤマ警備　株式会社,https://www.hellowork.careers/%E3%82%B7%E3%83%A2%E3%83%A4%E3%83%9E%E8%AD%A6%E5%82%99%E3%80%80%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%81%A7%E3%81%AE%E3%80%90%E6%80%A5%E5%8B%9F%E3%80%91%E8%AD%A6%E5%82%99%E6%A5%AD%EF%BC%8F%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B1%9F%E6%9D%B1%E5%8C%BA%E6%9D%B1%E3%81%AE%E3%83%8F%E3%83%AD%E3%83%BC%E3%83%AF%E3%83%BC%E3%82%AF%E6%B1%82%E4%BA%BA%E6%83%85%E5%A0%B1%EF%BC%88%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B1%9F%E6%9D%B1%E5%8C%BA%E6%9D%B1%E9%99%BD%EF%BC%95%EF%BC%8D%EF%BC%93%EF%BC%91%EF%BC%8D%EF%BC%96%EF%BC%89-%2011110-01335321/,東京都江東区東陽５－３１－６,月給,194400円-216000円,正社員,ハローワーク朝霞,2月10日,,048-423-7803
経理事務,株式会社　ヴェルテックスプラン,https://www.hellowork.careers/%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%80%80%E3%83%B4%E3%82%A7%E3%83%AB%E3%83%86%E3%83%83%E3%82%AF%E3%82%B9%E3%83%97%E3%83%A9%E3%83%B3%E3%81%A7%E3%81%AE%E7%B5%8C%E7%90%86%E4%BA%8B%E5%8B%99%E3%81%AE%E3%83%8F%E3%83%AD%E3%83%BC%E3%83%AF%E3%83%BC%E3%82%AF%E6%B1%82%E4%BA%BA%E6%83%85%E5%A0%B1%EF%BC%88%E6%9D%B1%E4%BA%AC%E9%83%BD%E5%B0%8F%E5%B9%B3%E5%B8%82%E5%AD%A6%E5%9C%92%E6%9D%B1%E7%94%BA%EF%BC%91%EF%BC%8D%EF%BC%97%EF%BC%8D%EF%BC%91%EF%BC%94%EF%BC%89-%2011050-03663521/,東京都小平市学園東町１－７－１４,月給,230000円-270000円,正社員,ハローワーク浦和,2月10日,,042-348-8800
オフィスビルの清掃,株式会社クイックビルサービス,https://www.hellowork.careers/%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%82%AF%E3%82%A4%E3%83%83%E3%82%AF%E3%83%93%E3%83%AB%E3%82%B5%E3%83%BC%E3%83%93%E3%82%B9%E3%81%A7%E3%81%AE%E3%82%AA%E3%83%95%E3%82%A3%E3%82%B9%E3%83%93%E3%83%AB%E3%81%AE%E6%B8%85%E6%8E%83%E3%81%AE%E3%83%8F%E3%83%AD%E3%83%BC%E3%83%AF%E3%83%BC%E3%82%AF%E6%B1%82%E4%BA%BA%E6%83%85%E5%A0%B1%EF%BC%88%E6%9D%B1%E4%BA%AC%E9%83%BD%E5%A4%A7%E7%94%B0%E5%8C%BA%E7%BE%BD%E7%94%B0%E6%97%AD%E7%94%BA%EF%BC%91%EF%BC%91%EF%BC%8D%EF%BC%91%EF%BC%89-%2011040-02969621/,東京都大田区羽田旭町１１－１,時給,1200円,パート労働者,ハローワーク川越,2月10日,,049-215-0045
とび工／千代田区,田中冷設工業　株式会社,https://www.hellowork.careers/%E7%94%B0%E4%B8%AD%E5%86%B7%E8%A8%AD%E5%B7%A5%E6%A5%AD%E3%80%80%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%81%A7%E3%81%AE%E3%81%A8%E3%81%B3%E5%B7%A5%EF%BC%8F%E5%8D%83%E4%BB%A3%E7%94%B0%E5%8C%BA%E3%81%AE%E3%83%8F%E3%83%AD%E3%83%BC%E3%83%AF%E3%83%BC%E3%82%AF%E6%B1%82%E4%BA%BA%E6%83%85%E5%A0%B1%EF%BC%88%E6%9D%B1%E4%BA%AC%E9%83%BD%E5%8D%83%E4%BB%A3%E7%94%B0%E5%8C%BA%E7%A5%9E%E7%94%B0%E7%B7%B4%E5%A1%80%E7%94%BA%EF%BC%95%EF%BC%95%E3%80%80%E3%83%91%E3%83%BC%E3%82%AF%E3%82%BF%E3%83%AF%EF%BC%89-%2008040-03586921/,東京都千代田区神田練塀町５５　パークタワー秋葉原６０３,月給,270000円-550000円,正社員,ハローワーク土浦,2月10日,,029-822-5530
＃美容師アシスタント＃ブランク明け復帰応,株式会社Ｏｕｉ,https://www.hellowork.careers/%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%EF%BC%AF%EF%BD%95%EF%BD%89%E3%81%A7%E3%81%AE%EF%BC%83%E7%BE%8E%E5%AE%B9%E5%B8%AB%E3%82%A2%E3%82%B7%E3%82%B9%E3%82%BF%E3%83%B3%E3%83%88%EF%BC%83%E3%83%96%E3%83%A9%E3%83%B3%E3%82%AF%E3%81%AE%E3%83%8F%E3%83%AD%E3%83%BC%E3%83%AF%E3%83%BC%E3%82%AF%E6%B1%82%E4%BA%BA%E6%83%85%E5%A0%B1%EF%BC%88%E6%9D%B1%E4%BA%AC%E9%83%BD%E8%B6%B3%E7%AB%8B%E5%8C%BA%E5%8D%83%E4%BD%8F%EF%BC%91%EF%BC%8D%EF%BC%92%EF%BC%93%EF%BC%8D%EF%BC%91%EF%BC%94%E3%80%80%E5%A4%A7%E5%80%AD%E3%83%93%E3%83%AB%EF%BC%89-%2011100-01714821/,東京都足立区千住１－２３－１４　大倭ビル１Ｆ,月給,190941円-210025円,正社員,ハローワーク草加,2月10日,,03-6806-1273
営業事務、広報、経理,事業所名非公開,https://www.hellowork.careers/%E4%BA%8B%E6%A5%AD%E6%89%80%E5%90%8D%E9%9D%9E%E5%85%AC%E9%96%8B%E3%81%A7%E3%81%AE%E5%96%B6%E6%A5%AD%E4%BA%8B%E5%8B%99%E3%80%81%E5%BA%83%E5%A0%B1%E3%80%81%E7%B5%8C%E7%90%86%E3%81%AE%E3%83%8F%E3%83%AD%E3%83%BC%E3%83%AF%E3%83%BC%E3%82%AF%E6%B1%82%E4%BA%BA%E6%83%85%E5%A0%B1%EF%BC%88%E6%9D%B1%E4%BA%AC%E9%83%BD%E5%8D%83%E4%BB%A3%E7%94%B0%E5%8C%BA%EF%BC%89-%2013010-16871621/,東京都千代田区,月給,220000円-480000円,正社員,ハローワーク飯田橋,2月10日,,
システムエンジニア,事業所名非公開,https://www.hellowork.careers/%E4%BA%8B%E6%A5%AD%E6%89%80%E5%90%8D%E9%9D%9E%E5%85%AC%E9%96%8B%E3%81%A7%E3%81%AE%E3%82%B7%E3%82%B9%E3%83%86%E3%83%A0%E3%82%A8%E3%83%B3%E3%82%B8%E3%83%8B%E3%82%A2%E3%81%AE%E3%83%8F%E3%83%AD%E3%83%BC%E3%83%AF%E3%83%BC%E3%82%AF%E6%B1%82%E4%BA%BA%E6%83%85%E5%A0%B1%EF%BC%88%E6%9D%B1%E4%BA%AC%E9%83%BD%E5%8D%83%E4%BB%A3%E7%94%B0%E5%8C%BA%EF%BC%89-%2013010-16869521/,東京都千代田区,月給,220000円-480000円,正社員,ハローワーク飯田橋,2月10日,,
看護師（パート）／参宮橋,社会福祉法人　ちとせ交友会,https://www.hellowork.careers/%E7%A4%BE%E4%BC%9A%E7%A6%8F%E7%A5%89%E6%B3%95%E4%BA%BA%E3%80%80%E3%81%A1%E3%81%A8%E3%81%9B%E4%BA%A4%E5%8F%8B%E4%BC%9A%E3%81%A7%E3%81%AE%E7%9C%8B%E8%AD%B7%E5%B8%AB%EF%BC%88%E3%83%91%E3%83%BC%E3%83%88%EF%BC%89%EF%BC%8F%E5%8F%82%E5%AE%AE%E6%A9%8B%E3%81%AE%E3%83%8F%E3%83%AD%E3%83%BC%E3%83%AF%E3%83%BC%E3%82%AF%E6%B1%82%E4%BA%BA%E6%83%85%E5%A0%B1%EF%BC%88%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%8B%E8%B0%B7%E5%8C%BA%E4%BB%A3%E3%80%85%E6%9C%A8%EF%BC%94%EF%BC%8D%EF%BC%95%EF%BC%90%EF%BC%8D%EF%BC%91%EF%BC%93%0A%E5%8F%82%E5%AE%AE%E6%A9%8B%EF%BC%89-%2013010-16868221/,東京都渋谷区代々木４－５０－１３,時給,1800円,パート労働者,ハローワーク飯田橋,2月10日,,042-444-8091
業務系システム開発技術者（ＳＥ）／立川市,株式会社　サイプレス・ソリューションズ,https://www.hellowork.careers/%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%80%80%E3%82%B5%E3%82%A4%E3%83%97%E3%83%AC%E3%82%B9%E3%83%BB%E3%82%BD%E3%83%AA%E3%83%A5%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%82%BA%E3%81%A7%E3%81%AE%E6%A5%AD%E5%8B%99%E7%B3%BB%E3%82%B7%E3%82%B9%E3%83%86%E3%83%A0%E9%96%8B%E7%99%BA%E6%8A%80%E8%A1%93%E8%80%85%EF%BC%88%EF%BC%B3%EF%BC%A5%E3%81%AE%E3%83%8F%E3%83%AD%E3%83%BC%E3%83%AF%E3%83%BC%E3%82%AF%E6%B1%82%E4%BA%BA%E6%83%85%E5%A0%B1%EF%BC%88%E6%9D%B1%E4%BA%AC%E9%83%BD%E7%AB%8B%E5%B7%9D%E5%B8%82%E6%9B%99%E7%94%BA%EF%BC%92%E4%B8%81%E7%9B%AE%EF%BC%93%EF%BC%94%E7%95%AA%EF%BC%97%E5%8F%B7%E3%80%80%E3%83%95%E3%82%A1%E3%83%BC%EF%BC%89-%2013010-17146121/,東京都立川市曙町２丁目３４番７号　ファーレイーストビル５階　,月給,215000円-313500円,正社員,ハローワーク飯田橋,2月10日,,03-3245-1311
訪問介護スタッフ／ニチイケアセンター新富,株式会社　ニチイ学館　お茶の水支店,https://www.hellowork.careers/%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%80%80%E3%83%8B%E3%83%81%E3%82%A4%E5%AD%A6%E9%A4%A8%E3%80%80%E3%81%8A%E8%8C%B6%E3%81%AE%E6%B0%B4%E6%94%AF%E5%BA%97%E3%81%A7%E3%81%AE%E8%A8%AA%E5%95%8F%E4%BB%8B%E8%AD%B7%E3%82%B9%E3%82%BF%E3%83%83%E3%83%95%EF%BC%8F%E3%83%8B%E3%83%81%E3%82%A4%E3%82%B1%E3%82%A2%E3%82%BB%E3%81%AE%E3%83%8F%E3%83%AD%E3%83%BC%E3%83%AF%E3%83%BC%E3%82%AF%E6%B1%82%E4%BA%BA%E6%83%85%E5%A0%B1%EF%BC%88%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%AD%E5%A4%AE%E5%8C%BA%E9%8A%80%E5%BA%A7%EF%BC%91%EF%BC%8D%EF%BC%91%EF%BC%96%EF%BC%8D%EF%BC%96%E3%80%80%E9%88%B4%E5%B8%B8%E3%83%93%E3%83%AB%EF%BC%92%EF%BC%89-%2013010-17145921/,東京都中央区銀座１－１６－６　鈴常ビル２Ｆ,時給,1283円-1563円,パート労働者,ハローワーク飯田橋,2月10日,,03-3295-7280
